Symbol Frequency
e,     14.101813%
t,     9.011117%
a,     8.718549%
s,     8.016384%
h,     7.1386776%
r,     5.9098887%
i,     5.6758337%
n,     5.5002923%
o,     5.5002923%
l,     3.8033936%
g,     3.4523115%
c,     3.2182562%
u,     2.5746052%
m,     2.106495%
d,     2.0479813%
p,     2.0479813%
w,     2.0479813%
f,     1.8139263%
b,     1.1117613%
v,     1.1117613%
y,     0.702165%
k,     0.6436513%
E,     0.5266237%
0,     0.46811002%
W,     0.29256874%
1,     0.29256874%
I,     0.23405501%
T,     0.23405501%
F,     0.17554125%
G,     0.17554125%
H,     0.17554125%
S,     0.17554125%
A,     0.117027506%
5,     0.117027506%
6,     0.117027506%
8,     0.117027506%
B,     0.058513753%
C,     0.058513753%
J,     0.058513753%
L,     0.058513753%
P,     0.058513753%
2,     0.058513753%
4,     0.058513753%
x,     0.058513753%
9,     0.058513753%

Symbol Huffman Codes
e,      101
t,      000
a,      1111
s,      1110
h,      1001
r,      0111
i,      0110
n,      0100
o,      0101
l,      11001
g,      11000
c,      10001
u,      00111
m,      00101
d,      110110
p,      110101
w,      110111
f,      110100
b,      001001
v,      001100
y,      1000001
k,      1000000
E,      0010001
0,      0010000
W,      00110111
1,      00110110
I,      100001101
T,      00110100
F,      100001000
G,      100001010
H,      100001011
S,      100001001
A,      0011010111
5,      1000011101
6,      1000011000
8,      1000011100
B,      10000111100
C,      10000111101
J,      0011010100
L,      0011010101
P,      10000110010
2,      10000110011
4,      10000111110
x,      10000111111
9,      0011010110

Total Bits:  7412
